"chat_id","company_name",cnpj,"Faixa Funcionários Grupo","Fone Ranking 1","Fone Ranking 2","Fone Ranking 3","Fone Ranking 4","Func Grupo Ordem","municipio_ajustado","Penetração Geral Municipio","razao_social",Segmento,"Tipo Cliente","date_sent",status
"(empty)","TOTVS Curitiba",79195699000142,"20 a 49","4.132480068E9","4.133280085E9","(empty)","(empty)",6,"CURITIBA, PR","19%","HUNTER COMERCIAL DE EQUIPAMENTOS LTDA",VAREJO,Prospect,"(empty)",WAITING
"(empty)","TOTVS Curitiba",79462446000198,"20 a 49","4.130794761E9","4.131583436E9","4.130145979E9","4.130290664E9",6,"CURITIBA, PR","19%","DISK COMERCIO DE COLCHOES LTDA",VAREJO,Prospect,"(empty)",WAITING
"(empty)","TOTVS Curitiba",79986535000133,"20 a 49","4.130241466E9","4.133460444E9","4.132476471E9","(empty)",6,"CURITIBA, PR","19%","PANIFICADORA DAVIRENE LTDA",VAREJO,Prospect,"(empty)",WAITING
"(empty)","TOTVS Curitiba",81238073000118,"20 a 49","4.132541214E9","(empty)","(empty)","(empty)",6,"CURITIBA, PR","19%","MC' SHIR MAQUINAS E ELETRO ELETRONICOS LTDA.",VAREJO,Prospect,"(empty)",WAITING
"(empty)","TOTVS Curitiba",82679457000139,"20 a 49","(empty)","(empty)","(empty)","(empty)",6,"CURITIBA, PR","19%","BANUS LABORATORIO FOTOGRAFICO LTDA",VAREJO,Prospect,"(empty)",WAITING
"(empty)","TOTVS Curitiba",02835336000108,"20 a 49","4.13532028E9","4.133592566E9","4.530862564E9","(empty)",6,"CURITIBA, PR","19%","ESCOLA PODIUM - EDUCACAO INFANTIL E ENSINO FUNDAMENTAL S/S LTDA",EDUCACIONAL,Prospect,"(empty)",WAITING
"(empty)","TOTVS Curitiba",00659006000175,"20 a 49","4.133425382E9","4.130163605E9","4.130248457E9","4.130771693E9",6,"CURITIBA, PR","19%","FERNANDES HERNANDES E CIA LTDA",SERVICOS,Prospect,"(empty)",WAITING
"(empty)","TOTVS Curitiba",85513596000186,"20 a 49","4.130827453E9","4.130397477E9","4.130920877E9","4.141324607E9",6,"CURITIBA, PR","19%","INVEST CAR MULTI MARCAS COMERCIO DE VEICULOS EIRELI",VAREJO,Prospect,"(empty)",WAITING
"(empty)","TOTVS Curitiba",00779196000164,"20 a 49","4.130826974E9","(empty)","(empty)","(empty)",6,"CURITIBA, PR","19%","SIMAVE CENTRO AUTOMOTIVO LTDA",SERVICOS,Prospect,"(empty)",PENDING
"(empty)","TOTVS Curitiba",17977614000120,"20 a 49","(empty)","(empty)","(empty)","(empty)",6,"ITAPERUCU, PR","17%","EMPREITEIRA CAROLINE DE FREITAS EIRELI","CONSTRUCAO E PROJETOS",Prospect,"(empty)",WAITING
"(empty)","TOTVS Curitiba",79103420000153,"20 a 49","4.134321094E9","4.334320356E9","4.334321094E9","(empty)",6,"ANTONINA, PR","17%","ASSOC DE PAIS E AMIGOS DOS EXCEPCIONAIS DE ANTONINA",SERVICOS,Prospect,"(empty)",PENDING
"(empty)","TOTVS Curitiba",00675206000111,"20 a 49","(empty)","(empty)","(empty)","(empty)",6,"SAO JOSE DOS PINHAIS, PR","47%","AGORA AMBIENTAL S/C LTDA",SERVICOS,Prospect,"(empty)",PENDING
"(empty)","TOTVS Curitiba",14875742000175,"20 a 49","(empty)","(empty)","(empty)","(empty)",6,"FAZENDA RIO GRANDE, PR","18%","AJG INCORPORACOES LTDA","CONSTRUCAO E PROJETOS",Prospect,"(empty)",WAITING
"1.785076061E9","TOTVS Curitiba",80229461000170,"1000 ou Mais","4.233114027E9","4.233114026E9","4.233114005E9","4.233114083E9",1,"PONTA GROSSA, PR","14%","VIACAO CAMPOS GERAIS LTDA",SERVICOS,Prospect,"2021-04-13 00:00:00",SENT
"(empty)","TOTVS Curitiba",20019473000148,"20 a 49","4.132254036E9","(empty)","(empty)","(empty)",6,"FAZENDA RIO GRANDE, PR","18%","ADILSO JOSE CAVAGNOLLO & CIA LTDA","CONSTRUCAO E PROJETOS",Prospect,"(empty)",WAITING
"1.785076061E9","TOTVS Curitiba",76659820000151,"1000 ou Mais","4.131533822E9","4.13024369E9","4.132711515E9","4.132711716E9",1,"CURITIBA, PR","19%","ASSOCIACAO PARANAENSE DE CULTURA - APC",EDUCACIONAL,Prospect,"2021-04-13 00:00:00",SENT
"1.785076061E9","TOTVS Curitiba",76726884000128,"1000 ou Mais","4.7344774E9","4.73447706E9","4.734477E9","4.734477435E9",1,"CURITIBA, PR","19%","INSTITUICAO ADVENTISTA SUL BRASILEIRA DE EDUCACAO",EDUCACIONAL,Prospect,"2021-04-13 00:00:00",SENT
"(empty)","TOTVS Curitiba",76763630000180,"20 a 49","4.131261636E9","4.130311028E9","4.136422779E9","4.1361418E9",6,"ARAUCARIA, PR","38%","AUTO PECAS ARAUCARIAS LTDA",VAREJO,Prospect,"(empty)",WAITING
"(empty)","TOTVS Curitiba",01691950000172,"20 a 49","(empty)","(empty)","(empty)","(empty)",6,"CAMPINA GRANDE DO SUL, PR","18%","BR HOME CONSTRUCOES LTDA",SERVICOS,Prospect,"(empty)",PENDING
"(empty)","TOTVS Curitiba",01744129000177,"20 a 49","(empty)","(empty)","(empty)","(empty)",6,"CAMPINA GRANDE DO SUL, PR","18%","RESTAURANTE PELANDA LTDA",SERVICOS,Prospect,"(empty)",WAITING
"1.785076061E9","TOTVS Curitiba",76583160000172,"500 a 999","4.12104032E9","4.121040384E9","4.121040321E9","4.132621218E9",2,"CURITIBA, PR","19%","ASSOCIACAO CULTURAL SAO JOSE",SERVICOS,Prospect,"2021-04-14 00:00:00",SENT
"1.785076061E9","TOTVS Curitiba",80637838000120,"500 a 999","4.133221744E9","4.132237804E9","4.130182294E9","4.130298094E9",2,"CURITIBA, PR","19%","ASSOCIACAO DA IMACULADA VIRGEM MARIA",EDUCACIONAL,Prospect,"2021-04-15 00:00:00",SENT
"1.785076061E9","TOTVS Curitiba",76578244000118,"500 a 999","4.132244984E9","4.230284035E9","5.433681634E9","4.230278032E9",2,"CURITIBA, PR","19%","ASSOCIACAO FAMILIA DE MARIA",EDUCACIONAL,Prospect,"2021-04-15 00:00:00",SENT
"(empty)","TOTVS Curitiba",02997648000100,"20 a 49","4.199824818E10","4.1998740061E10","4.7992134966E10","4.1998340026E10",6,"CURITIBA, PR","19%","VZP PROJETOS E EXECUCOES LTDA","CONSTRUCAO E PROJETOS",Prospect,"(empty)",WAITING
"1.785076061E9","TOTVS Curitiba",76031368000189,"500 a 999","4.130426496E9","4.130425475E9","4.132135445E9","4.132135264E9",2,"CURITIBA, PR","19%","COLEGIO DOM BOSCO LTDA",EDUCACIONAL,Prospect,"2021-04-15 00:00:00",SENT
"1.785076061E9","TOTVS Curitiba",80275290000115,"500 a 999","4.130426308E9","4.135282848E9","4.131482486E9","4.131482501E9",2,"CURITIBA, PR","19%","DEUSEG LIMPEZA E CONSERVACAO LTDA",SERVICOS,Prospect,"2021-04-15 00:00:00",SENT
"(empty)","TOTVS Curitiba",03485681000113,"20 a 49","4.132331986E9","4.133222619E9","(empty)","(empty)",6,"CURITIBA, PR","19%","MENTA ENGENHARIA CIVIL EIRELI","CONSTRUCAO E PROJETOS",Prospect,"(empty)",WAITING
"1.785076061E9","TOTVS Curitiba",05411783000110,"500 a 999","4.130784731E9","4.33037026E9","4.735150771E9","4.132626173E9",2,"CURITIBA, PR","19%","R. AGILIDADE LOCACAO DE MAO DE OBRA TEMPORARIA LTDA",SERVICOS,Prospect,"2021-04-16 00:00:00",SENT
"(empty)","TOTVS Curitiba",00243656000135,"50 a 99","4.136525826E9","4.136522149E9","4.136522222E9","4.137521334E9",5,"RIO BRANCO DO SUL, PR","6%","J S CARDOSO & FILHOS LTDA",VAREJO,Prospect,"(empty)",WAITING
