cnpj;razao_social;municipio;segmento TOTVs;faixa_funcionarios_grupo;faixa_faturamento_grupo;porte;natureza_juridica;Prioridade;Fone Ranking 1;Fone Ranking 2;Fone Ranking 3;Fone Ranking 4
93687549000187;LOURABE SERVICOS ADMINISTRATIVOS E DE ESCRITORIO LTDA;CURITIBA;SERVICOS;100 a 249;20M A 30M;NÃO INFORMADO;SOCIEDADE EMPRESÁRIA LIMITADA;1;;;;
95396586000161;FRANCISCO DE ASSIS ELIAS WYKROTA & CIA LTDA;ARAUCARIA;VAREJO;20 a 49;20M A 30M;DEMAIS;SOCIEDADE EMPRESÁRIA LIMITADA;1;4130311992;4136435445;4136433454;4130328484
35979405000106;BIZZOTTO COMERCIO DE ALIMENTOS LTDA;CURITIBA;VAREJO;20 a 49;10M A 20M;NÃO INFORMADO;SOCIEDADE EMPRESÁRIA LIMITADA;1;;;;
32396568000160;VISIO DESENVOLVIMENTO DE SOFTWARE LTDA;CURITIBA;SERVICOS;50 a 99;10M A 20M;NÃO INFORMADO;SOCIEDADE EMPRESÁRIA LIMITADA;1;;;;
03580839000134;FLOWTEC SERVICOS DE CLIMATIZACAO LTDA;CURITIBA;CONSTRUCAO E PROJETOS;50 a 99;10M A 20M;NÃO INFORMADO;SOCIEDADE EMPRESÁRIA LIMITADA;1;4131559755;0;0;0
04078733000108;DAVI SANTANA PEREIRA & CIA LTDA;CURITIBA;VAREJO;20 a 49;10M A 20M;NÃO INFORMADO;SOCIEDADE EMPRESÁRIA LIMITADA;1;4132893559;4530535247;0;0
81751299000118;CONFECCOES SWINGER LTDA;GUARAPUAVA;VAREJO;50 a 99;4,8M A 7M;NÃO INFORMADO;SOCIEDADE EMPRESÁRIA LIMITADA;1;;;;
27836809000104;SABEMA COMERCIAL DE ALIMENTOS LTDA;CURITIBA;DISTRIBUICAO;20 a 49;4,8M A 7M;NÃO INFORMADO;SOCIEDADE EMPRESÁRIA LIMITADA;1;;;;
78932100000143;STEDILE PERBONI & CIA. LTDA.;CURITIBA;VAREJO;50 a 99;30M A 40M;DEMAIS;SOCIEDADE EMPRESÁRIA LIMITADA;1;4130574907;4133573221;4136980736;4131230192
75032698000126;PANIFICADORA E MERCEARIA AHU LTDA;CURITIBA;VAREJO;50 a 99;30M A 40M;DEMAIS;SOCIEDADE EMPRESÁRIA LIMITADA;1;4132531865;4130764220;4133525804;4133526764
76973247000156;GRAPHIT CONSTRUTORA DE OBRAS LTDA;CURITIBA;CONSTRUCAO E PROJETOS;50 a 99;20M A 30M;DEMAIS;SOCIEDADE EMPRESÁRIA LIMITADA;1;4133356542;4135989685;0;0
77687218000190;VICENZA-COMERCIO DE LUBRIFICANTES LTDA;CURITIBA;VAREJO;50 a 99;7M A 10M;NÃO INFORMADO;SOCIEDADE EMPRESÁRIA LIMITADA;1;4133436793;0;0;0
81222861000116;LEXSOM CONSULTORIA E INFORMATICA LTDA;CURITIBA;SERVICOS;20 a 49;7M A 10M;NÃO INFORMADO;SOCIEDADE EMPRESÁRIA LIMITADA;1;1130570395;4137793046;0;0
06991288000190;P K TRANSPORTES LTDA;CURITIBA;SERVICOS;50 a 99;7M A 10M;NÃO INFORMADO;SOCIEDADE EMPRESÁRIA LIMITADA;1;;;;
08200961000151;MERCEARIA EMPORIO SAO JOSE EIRELI;CURITIBA;VAREJO;20 a 49;20M A 30M;NÃO INFORMADO;EMPRESA INDIVIDUAL DE RESPONSABILIDADE LIMITADA (DE NATUREZA EMPRESÁRIA);1;4130132928;4130132398;4133451420;4132293853
08326716000195;MARCO TUBOS EIRELI;CAMPO LARGO;VAREJO;50 a 99;20M A 30M;NÃO INFORMADO;EMPRESA INDIVIDUAL DE RESPONSABILIDADE LIMITADA (DE NATUREZA EMPRESÁRIA);1;4135551626;4135552415;4133555241;0
08596119000180;BEL & ELIAS DISTRIBUIDORA DE ALIMENTOS LTDA;CURITIBA;VAREJO;20 a 49;10M A 20M;DEMAIS;SOCIEDADE EMPRESÁRIA LIMITADA;1;4131521893;4131521523;4131556824;4132277172
08752480000159;RODOTIBA TRANSPORTES EIRELI;CURITIBA;SERVICOS;100 a 249;10M A 20M;NÃO INFORMADO;EMPRESA INDIVIDUAL DE RESPONSABILIDADE LIMITADA (DE NATUREZA EMPRESÁRIA);1;;;;
09014201000112;COMERCIAL SALA DE ALIMENTOS LTDA.;CURITIBA;VAREJO;20 a 49;20M A 30M;DEMAIS;SOCIEDADE EMPRESÁRIA LIMITADA;1;4135648763;4135646645;0;0
10730431000167;R.S HONORIO ASSESSORIA E SERVICOS EIRELI;CURITIBA;SERVICOS;100 a 249;50M A 100M;NÃO INFORMADO;EMPRESA INDIVIDUAL DE RESPONSABILIDADE LIMITADA (DE NATUREZA EMPRESÁRIA);1;;;;
10957068000117;GESSI CONSTRUTORA E INCORPORADORA LTDA;SAO JOSE DOS PINHAIS;CONSTRUCAO E PROJETOS;20 a 49;10M A 20M;NÃO INFORMADO;SOCIEDADE EMPRESÁRIA LIMITADA;1;4131464940;0;0;0
06323199000175;AIRES - CONSTRUCOES ELETRICAS - EIRELI;IMBAU;CONSTRUCAO E PROJETOS;50 a 99;10M A 20M;NÃO INFORMADO;EMPRESA INDIVIDUAL DE RESPONSABILIDADE LIMITADA (DE NATUREZA EMPRESÁRIA);1;4232781008;4232781129;0;0
